week,player_uid,brand_name,player_registered_at,deal_name,commission_base,cpa_commission_base,rs_commission_base,ngr_base,bets_base,wins_base,deposit_qty,deposits_base,withdrawal_qty,withdrawals_base
2025-02-03,testingMrYuss3,bitcasino.io,2025-02-03 11:45:37Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Darkochill,bitcasino.io,2025-02-03 21:21:34Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,odaams,bitcasino.io,2025-02-03 21:26:33Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Hassax,bitcasino.io,2025-02-03 21:27:22Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Jsjsk_Gdysiaaya,bitcasino.io,2025-02-03 21:27:29Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,wahdmachijoj,bitcasino.io,2025-02-03 21:28:28Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,AMINOX22,bitcasino.io,2025-02-03 21:29:27Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Marvin127,bitcasino.io,2025-02-03 21:29:42Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,rissay120,bitcasino.io,2025-02-03 21:29:57Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,younessed96,bitcasino.io,2025-02-03 21:30:04Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,AyoubEss,bitcasino.io,2025-02-03 21:30:10Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,reda_El,bitcasino.io,2025-02-03 21:31:14Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Sridina,bitcasino.io,2025-02-03 21:32:59Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,l7myma,bitcasino.io,2025-02-03 22:00:53Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,samhooks5,bitcasino.io,2025-02-03 22:01:35Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,cadis,bitcasino.io,2025-02-03 22:03:18Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,MIHAWKSAMA,bitcasino.io,2025-02-03 22:31:17Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,rooben,bitcasino.io,2025-02-03 22:32:08Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,DavenciX,bitcasino.io,2025-02-03 22:43:59Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Tupac93,bitcasino.io,2025-02-03 23:38:53Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,MToo9,bitcasino.io,2025-02-03 23:59:23Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Spozy444,bitcasino.io,2025-02-04 00:00:13Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,red00987,bitcasino.io,2025-02-04 00:07:06Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,inolord,bitcasino.io,2025-02-04 00:10:18Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,camelio,bitcasino.io,2025-02-04 00:33:25Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Youness99,bitcasino.io,2025-02-04 00:35:01Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,h4yttam,bitcasino.io,2025-02-04 09:03:14Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,ANASBOU12,bitcasino.io,2025-02-04 21:01:35Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Gistyidg377,bitcasino.io,2025-02-04 21:01:50Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Lemlih,bitcasino.io,2025-02-04 21:02:16Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Arba3ini,bitcasino.io,2025-02-04 21:02:54Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,salax,bitcasino.io,2025-02-04 21:06:03Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,travoking,bitcasino.io,2025-02-05 00:38:27Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Kaaary,bitcasino.io,2025-02-05 19:42:18Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
2025-02-03,Rida76,bitcasino.io,2025-02-05 20:31:42Z,Bitcasino Default Deal,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
